Date Time(UTC),RecordNum,#ClkTicks,PTB110_mb,P4_mb,P1_mb,Vbat,T1_C,RH1,N1Cts,N2Cts,N1ETsec,N2ETsec,N1T(C),N1RH,N2T(C),N2RH,T_CS215,RH_CS215,GpsUTC,LatDec,LongDec,Alt,Qual,NumSats,HDOP,Speed_kmh,COG,SpeedQuality,strDate,N,NM,ah,correct_h,correct_p,correct_inc,N_smooth,N_smooth_std,moisture,moisture_%
2019-07-08 05:00:00,78,770, 1001.76000, 1001.60000, 1000.20000,   15.89300,   25.70000,   35.10000,17,15,10,10,   25.60000,   42.40000,   25.70000,   42.70000,   13.60000,   58.10000,50020,   51.34622,   12.44267,  125.70000,    1.00000,10,0.8,   51.02000,   87.71000,A,80719.00000, 9887.21699,  166.54000,    6.83489,    1.03691,    0.91899,    0.90068, 8031.73972, 1635.15388,    0.21253,   21.25311
2019-07-08 05:00:10,79,780, 1001.63000, 1001.50000, 1000.10000,   15.89300,   25.80000,   35.10000,8,16,10,10,   25.70000,   42.30000,   25.70000,   42.70000,   13.50000,   58.10000,50030,   51.34623,   12.44445,  121.70000,    1.00000,10,0.8,   35.65000,   91.41000,A,80719.00000, 7406.70770,  166.54000,    6.79289,    1.03668,    0.91811,    0.90068,10502.62974, 3445.10319,    0.05142,    5.14162
2019-07-08 05:00:20,80,790, 1001.57000, 1001.60000, 1000.10000,   15.89300,   25.80000,   35.10000,22,24,10,10,   25.60000,   42.30000,   25.70000,   42.70000,   13.50000,   58.40000,50040,   51.34621,   12.44487,  120.30000,    1.00000,09,0.9,    0.00000,   94.88000,A,80719.00000,14213.96453,  166.28875,    6.82797,    1.03687,    0.91770,    0.90205,11540.01520, 3630.69980,    0.02007,    2.00718
2019-07-08 05:00:30,81,800, 1001.61000, 1001.50000, 1000.20000,   15.89300,   25.80000,   35.00000,24,18,10,10,   25.70000,   42.30000,   25.70000,   42.70000,   13.40000,   58.50000,50050,   51.34621,   12.44487,  120.30000,    1.00000,09,0.9,    0.00000,   94.88000,A,80719.00000,12999.37337,  166.03750,    6.79760,    1.03671,    0.91797,    0.90341,12378.47373, 2212.28353,    0.00118,    0.11807
2019-07-08 05:00:40,82,810, 1001.64000, 1001.60000, 1000.10000,   15.89900,   25.80000,   35.00000,16,16,10,10,   25.70000,   42.30000,   25.70000,   42.70000,   13.40000,   58.60000,50100,   51.34621,   12.44487,  120.30000,    1.00000,09,0.9,    0.00000,   94.88000,A,80719.00000, 9922.08330,  165.78625,    6.80922,    1.03677,    0.91817,    0.90478,10332.31883, 2487.43896,    0.05773,    5.77281
2019-07-08 05:00:50,83,820, 1001.65000, 1001.60000, 1000.10000,   15.89700,   25.90000,   35.00000,11,15,10,10,   25.70000,   42.30000,   25.70000,   42.70000,   13.40000,   58.80000,50110,   51.34629,   12.44533,  119.90000,    1.00000,09,0.9,   24.30000,   64.08000,A,80719.00000, 8075.49982,  165.53500,    6.83246,    1.03690,    0.91824,    0.90615, 8793.87037,  989.16415,    0.14044,   14.04402
2019-07-08 05:01:00,84,830, 1001.60000, 1001.60000, 1000.10000,   15.89800,   25.90000,   35.00000,13,14,10,10,   25.70000,   42.30000,   25.70000,   42.70000,   13.40000,   59.00000,50120,   51.34724,   12.44572,  122.50000,    1.00000,08,1.1,   46.23000,   14.51000,A,80719.00000, 8384.02800,  165.53500,    6.85570,    1.03702,    0.91790,    0.90615, 7969.83813,  475.90087,    0.22001,   22.00124
2019-07-08 05:01:10,85,840, 1001.53000, 1001.50000, 1000.00000,   15.90200,   25.90000,   34.90000,16,8,10,10,   25.70000,   42.20000,   25.70000,   42.60000,   13.40000,   59.30000,50130,   51.34845,   12.44623,  124.40000,    1.00000,09,0.9,   51.69000,   21.96000,A,80719.00000, 7449.98658,  165.53500,    6.89056,    1.03721,    0.91743,    0.90615, 7762.49229,  538.26852,    0.24752,   24.75161
2019-07-08 05:01:20,86,850, 1001.48000, 1001.50000,  999.90000,   15.90100,   25.90000,   34.90000,13,11,10,10,   25.70000,   42.20000,   25.80000,   42.60000,   13.40000,   59.50000,50140,   51.34953,   12.44714,  125.10000,    1.00000,08,0.9,   43.89000,   22.42000,A,80719.00000, 7453.46230,  165.41700,    6.91380,    1.03733,    0.91710,    0.90680, 8592.15605, 1975.28627,    0.15654,   15.65419
2019-07-08 05:01:30,87,860, 1001.45000, 1001.50000, 1000.00000,   15.90300,   25.90000,   35.00000,18,17,10,10,   25.70000,   42.20000,   25.70000,   42.60000,   13.40000,   59.20000,50150,   51.35001,   12.44736,  124.80000,    1.00000,09,0.9,    0.13000,   13.51000,A,80719.00000,10873.01929,  165.29900,    6.87894,    1.03715,    0.91689,    0.90745, 9011.47505, 1729.86734,    0.12489,   12.48867
